id,category,name
828,solitaire,SlideFour
829,solitaire,SlideThree
830,solitaire,Sliding Blocks
831,solitaire,Sliding Puzzle
1632,solitaire,Smiling Faces
1880,solitaire,Smiling Faces Easy
912,solitaire,Snake Catcher
832,solitaire,Snakepit
2427,solitaire,Sokoban
833,solitaire,SoliHex
1181,solitaire,Solitaire Freeplay and Solver
1776,solitaire,Solitaire Tree
834,solitaire,SoliTours
835,solitaire,Spaghetti
836,solitaire,Spaghetti II
1933,solitaire,Sparky
1935,solitaire,Sparky II
971,solitaire,Spot the Difference
974,solitaire,Spot the Difference II
837,solitaire,Squabble Solo
1205,solitaire,Square Fit
1224,solitaire,Square Fit II
1225,solitaire,Square Fit III
1773,solitaire,Square Peg Solitaire
1354,solitaire,Square The Rectangle
838,solitaire,Square The Square
839,solitaire,Square The Square II
1041,solitaire,Square The Square Solver
1963,solitaire,Square Words
2426,solitaire,Squared Chain
1940,solitaire,Squaro
1419,solitaire,Squash (Square Shuffle)
1495,solitaire,Stacks
1505,solitaire,Stacksa
1499,solitaire,Stackso
840,solitaire,Stapler
841,solitaire,Stapler II
1498,solitaire,Staxa
1506,solitaire,Staxo
842,solitaire,Step-Mazes
1068,solitaire,Stepping Stones
1117,solitaire,Stick Equations
815,solitaire,Sticks
843,solitaire,Sticks Sequence
1053,solitaire,Straight
1246,solitaire,Straight Across
1056,solitaire,Straight-dia
1264,solitaire,Straight-Solver
1714,solitaire,Strobot
844,solitaire,Subway
847,solitaire,Subway 4
845,solitaire,Subway II
846,solitaire,Subway III
1538,solitaire,Sudoku Cube
1237,solitaire,Sudoku Solver
1665,solitaire,Sudoku Tool
2317,solitaire,Sudoku-4thgroups
2309,solitaire,Sudoku-betweens
2312,solitaire,Sudoku-circlesquare
2292,solitaire,Sudoku-Doubled
2295,solitaire,Sudoku-Elbow
2313,solitaire,Sudoku-greaterthan
2383,solitaire,Sudoku-rotations
2316,solitaire,Sudoku-sumframe
2289,solitaire,Sudoku-withmargins
1539,solitaire,Sudoxo
1540,solitaire,Sudoxu
1549,solitaire,Summerwings Puzzle
148,solitaire,Super Bubbles
1024,solitaire,Switch
2041,checkmate,Safari
1327,checkmate,Sagittar Chess
2066,checkmate,Sahara Chess
1235,checkmate,Samhain Chess
1334,checkmate,Samnis Chess
1,checkmate,Sankaku Shogi
1928,checkmate,Savannah
1223,checkmate,Scandinavian Chess
1194,checkmate,Schoolbook
848,checkmate,Scirocco
2028,checkmate,Scope
1236,checkmate,Scorpion Chess
1328,checkmate,Scot Chess
1385,checkmate,Scout Chess
2036,checkmate,Sea Chess
2223,checkmate,Sea Stories
849,checkmate,Secret Service Chess
1322,checkmate,Secutor Chess
1896,checkmate,Seirawan Chess
850,checkmate,Selfeliminator
2591,checkmate,Sentry Chess
851,checkmate,Separate Chess
1228,checkmate,Setup-Chess
3025,checkmate,Shahmot
1171,checkmate,Shamanic Chess
988,checkmate,Shanghai Palace Chess
2910,checkmate,Shared Piece Shogi
99,checkmate,Shatranj
1108,checkmate,Shatranj Elephants
1140,checkmate,Shatranj of Troy
852,checkmate,Shatranj Plus
1690,checkmate,Shields & Swords
2766,checkmate,Sho Shogi
1761,checkmate,Shock Troops
2858,checkmate,Shogi (Corrected for 'Pawn drop')
2854,checkmate,Shogi (Renewal)
2936,checkmate,Shogi Modified
3108,checkmate,Shogi Plus
854,checkmate,Shogi Super Chess
2836,checkmate,Shogi variant vs Chess
2835,checkmate,Shogi variant vs Makruk
2811,checkmate,Shogi vs Chess
2815,checkmate,Shogi vs Chess (Center Split version)
2821,checkmate,Shogi vs Janggi
2822,checkmate,Shogi vs Makruk
2824,checkmate,Shogi vs Makruk Variant
2814,checkmate,Shogi vs Makruk vs Chess
2816,checkmate,Shogi vs Xiangqi
853,checkmate,Shogi with Handicaps
46,checkmate,"Shogi, Mortal Shogi, Kamikaze Mortal Shogi"
2653,checkmate,Shogi-CheckFirst
2708,checkmate,Shogi-ExpandedPrison
2652,checkmate,Shogi-FalconKing
2667,checkmate,Shogi-Hybrid
2647,checkmate,Shogi-ImmortalSilver
2644,checkmate,Shogi-Knight8
2643,checkmate,Shogi-Komaochi25
2654,checkmate,Shogi-ReflectionBishop
2736,checkmate,Shogi-ShrinkedPrison
2940,checkmate,Shosu Shogi
2721,checkmate,Side Position Shogi
2907,checkmate,Silver Promotion Shogi
855,checkmate,Simple Chess
1590,checkmate,Simpleton's and Henry the VIII Chess
1756,checkmate,SimpleX Chess
1591,checkmate,Simplified Chess
3037,checkmate,Single Check Chess
2330,checkmate,Sino Chess
1242,checkmate,Sino-European Chess
856,checkmate,Sissa
1259,checkmate,Skandaran Chess
2701,checkmate,Skate Shogi
3091,checkmate,Skate Shogi Variant
1159,checkmate,Sky
2791,checkmate,Small Kyo Shogi
2792,checkmate,Small Kyo Shogi Variant
2793,checkmate,Small KyoSho Vs Knight Shogi
1521,checkmate,Spartan Skaki
2837,checkmate,Speed Shogi
1751,checkmate,Spherical Chess 400
860,checkmate,Sphinx Chess
861,checkmate,Spiral Staircase Chess
2631,checkmate,Spock
625,checkmate,Squadron Chess
102,checkmate,ST3D Chess - 'Borg Queen' variant
103,checkmate,ST3D Chess - 'First Contact' variant
104,checkmate,ST3D Chess - 'Neutral Zone' variant
105,checkmate,ST3D Chess - 'Transporter Pad' variant
106,checkmate,ST3D Chess - 'Warp Factor' variant
91,checkmate,ST3d Chess - Kobayashi Maru variant
862,checkmate,Stability Chess
1414,checkmate,Stahlberg Chess
2331,checkmate,Stalemate Chess
863,checkmate,Star Pool Chess
2037,checkmate,Star Trek Chess
865,checkmate,Stations
866,checkmate,Statues Chess
2917,checkmate,Steal Shogi
1626,checkmate,Stealth Ninja Chess
2920,checkmate,Stealth Shogi
2922,checkmate,Stealth Shogi Variant
990,checkmate,Stegeborg
1338,checkmate,Stheno Chess
867,checkmate,Sticky Chess
868,checkmate,Sting Chess
1415,checkmate,Stoltz Chess
869,checkmate,Storm the Ivory Tower
871,checkmate,String Chess
872,checkmate,Stroebeck Crisis Chess
2772,checkmate,Stun Shogi
1605,checkmate,SUCCHESS
873,checkmate,Sudden Death Chess
1195,checkmate,Sudoku Chess
1920,checkmate,Sultan Checkers
874,checkmate,Super Chess
1640,checkmate,Super Knights Grand Chess
2083,checkmate,Super Shogi
1439,checkmate,Super Stars Chess
3019,checkmate,Super X Chess
875,checkmate,SwapChess
2665,checkmate,SwapperGold  Shogi
2680,checkmate,Swapping Shogi
1399,checkmate,Swedish Cannon Chess
1214,checkmate,Swedish Chess
857,checkmate,Symmetric Sissa
792,checkmate,Symmetrical Chess Collection
1530,checkmate,Synergy Chess
779,other,Sabin Rains
993,other,Sabotage
2589,other,Sahkku
780,other,Sailing For Two
1878,other,Salt 'n' Pepper
784,other,Salta
2955,other,Salta (MW)
785,other,SanQi
786,other,Scala
2334,other,Scandinavian Checkers
787,other,Score4
788,other,Scrabl
1297,other,Scrabl-Deutsch
1533,other,Scrabwalk
789,other,Scribble
790,other,Scribble II
1455,other,Seedling
791,other,Select-by-grp
1955,other,Selene
1772,other,Selfo
2449,other,Selus and Gabata
1450,other,Senet
793,other,Senryaku
794,other,Seth
2803,other,Seven Sages
3233,other,Shafran's Checkers
1561,other,Shannon
2642,other,Shisima
795,other,Shove Off
1924,other,Siamese Checkers
796,other,SideKicker
315,other,Sidewinder
2100,other,Siege
1712,other,Siege (Castle Checkers)
797,other,Silent Armada
798,other,Sim
1545,other,Similarity
1015,other,Sk&auml;llviksborg
799,other,Skarphagen
275,other,Skava
800,other,Slimetrail
1016,other,Slottsholmen
859,other,Smackdown Chess
801,other,Snailtrail
2268,other,SnakesnLadders
803,other,Soccer
1907,other,Socker
804,other,SolLune
2046,other,Songcatki
2062,other,Songsaki
2063,other,Songsaki169
805,other,Sophia
1081,other,Sortie
1684,other,SOS
2592,other,Spanish Checkers Variants
806,other,Spark
802,other,Speed Soccolot
1713,other,Sphinx
807,other,Spider
808,other,Spiral Nim
1929,other,Splay
809,other,Splotch
2368,other,Splut!
1664,other,Springboard
810,other,Squabble
811,other,Square Down
2005,other,"Square The Rectangle, Large Board"
816,other,Squared and Crossed
979,other,Squaredance
1941,other,Squaro For Two
2495,other,Squer
2119,other,Stamboll D�mA
817,other,Starlet and her faithful Dogs
864,other,Stationary Chess
2247,other,Stavropol Checkers
813,other,Sticks For Two
814,other,Sticks Ortho
818,other,Sticks-3D
812,other,Sticks-Dia
3126,other,Stigmergy
2594,other,Stockholm Checkers
2070,other,Stoical Go
1347,other,Stoplight Mancala
1054,other,Straight For Two
1076,other,Straight-Dia For Two
1524,other,Stratagemo
1166,other,Streets
2018,other,Subjugatio Rebellium (26 Rebels)
1186,other,Suco
1548,other,Summerwings
819,other,Super Blue & Gray
2027,other,Supergrid
820,other,SuperJoust
272,other,Superstring
821,other,Surakarta
822,other,Susan
1028,other,Sveaborg
2600,other,Swedish Draughts
1723,other,Symphony
895,solitaire,Tangram
896,solitaire,Telephone
1122,solitaire,Telephone II
647,solitaire,Telescope
1088,solitaire,Tetrads
897,solitaire,Tetrasticks
1740,solitaire,The Eight Engines Puzzle
1827,solitaire,The Gingko Tile
1801,solitaire,The Hobbit Chess
898,solitaire,Three Rings
899,solitaire,Tile Flips
885,solitaire,Tilt
1022,solitaire,Tilt 3
886,solitaire,Tilt II
1991,solitaire,TiltBox
2010,solitaire,TiltHex
2300,solitaire,TorontoPanAm-agrams
900,solitaire,Touched Twice
1719,solitaire,Towers of Hanoi (KS)
901,solitaire,Towers of Toronto
477,solitaire,Traffic Lights
902,solitaire,Train
903,solitaire,Train II
904,solitaire,Train III
1008,solitaire,Train Set
905,solitaire,Transform
1959,solitaire,Treasure Hunt
1769,solitaire,Trespass
1994,solitaire,TriBox
906,solitaire,Triki
1070,solitaire,Triple
1757,solitaire,Trithello
1972,solitaire,TriWriggle
9,solitaire,Turing Machine
10,solitaire,Turing Machine II
1172,solitaire,Tuzz
1497,solitaire,Twentysix
1861,solitaire,Twiki
1066,solitaire,Twin
907,solitaire,Twin Maze
908,solitaire,Twist
909,solitaire,Twist II
910,solitaire,Twisted Tour
1210,checkmate,Tablut
976,checkmate,Tactics
3009,checkmate,Tai Shogi (25x25) System A
3010,checkmate,Tai Shogi (25x25) System B
3011,checkmate,Tai Shogi (25x25) System C
2690,checkmate,Taiko Shogi
3007,checkmate,Taikyoku Shogi (36x36)
870,checkmate,Take The Brain
3093,checkmate,Tamerlane Chess
1879,checkmate,TargeT Chess
913,checkmate,Tauschach
2682,checkmate,Tavreli
3098,checkmate,Teleportation King Shogi
2918,checkmate,Tenjiku Dai Shogi 16x16
2921,checkmate,Tenjiku Dai Shogi 16x16 variant
2602,checkmate,Tenjiku Shogi (for 2 players)
2711,checkmate,Tenjiku-AnHoku Shogi
2716,checkmate,Tenjiku-AnKi Shogi
2704,checkmate,Tenjiku-AnNan Shogi
2709,checkmate,Tenjiku-AnToZai Shogi
914,checkmate,Terrace
915,checkmate,Terrain Chess
916,checkmate,Terror Chess
1887,checkmate,Teutonic Chess
1774,checkmate,ThanksGiving Delight
1229,checkmate,The Demon Game
2969,checkmate,The Duke
571,checkmate,The Epic
1397,checkmate,The Invisible Man - Chess
1368,checkmate,The Pattern Game
2640,checkmate,The Real Chess
2641,checkmate,The Real Chess Mis�re
2160,checkmate,The Royal Chess
1348,checkmate,The ShortRange Project
2218,checkmate,The Three Musketeers
3146,checkmate,The Three Musketeers (RZ)
2213,checkmate,The Universal and Capablanca chess
2035,checkmate,Thoth
1335,checkmate,Thraex Chess
917,checkmate,Three Checks Chess
2691,checkmate,ThreePawns Shogi
1874,checkmate,Throne Chess
3131,checkmate,Tigard Chess
3132,checkmate,Tigard Chess Mis�re
3279,checkmate,Tigardess Chess
3280,checkmate,Tigardess Chess Mis�re
3284,checkmate,Tigardesses Chess
3285,checkmate,Tigardesses Chess Mis�re
2668,checkmate,Tiger Chess
2669,checkmate,Tiger Chess Mis�re
2931,checkmate,Tigers Chess
2932,checkmate,Tigers Chess Mis�re
3122,checkmate,Tigon Chess
3123,checkmate,Tigon Chess Mis�re
3266,checkmate,Tigoness Chess
3267,checkmate,Tigoness Chess Mis�re
3270,checkmate,Tigonesses Chess
3271,checkmate,Tigonesses Chess Mis�re
3135,checkmate,Tigress Chess
3136,checkmate,Tigress Chess Mis�re
3127,checkmate,Tiguar Chess
3128,checkmate,Tiguar Chess Mis�re
3261,checkmate,Tiguaress Chess
3262,checkmate,Tiguaress Chess Mis�re
3275,checkmate,Tiguaresses Chess
3276,checkmate,Tiguaresses Chess Mis�re
921,checkmate,Tim's 3D Chess
922,checkmate,Tim's 4x8x4 3D Chess
